replicate,master_seed,topology,agent_seed,converged,right_censored,episodes_completed,stop_reason,final_optimization_steps,final_replay_size,final_recorded_reward_slope,final_recorded_loss_slope,phase_component_normalized_slope,phase_demeaned_residual_normalized_slope,phase_fraction_of_raw_abs,cycle_mean_reward_trend_per_episode,greedy_validation_reward_trend_per_episode,greedy_validation_distance_trend_per_episode,reward_slope_recompute_abs_error,loss_slope_recompute_abs_error,protocol_sha256,checkpoint_file_sha256
1,173648848,manhattan,728103279,True,False,416,convergence_criteria_satisfied,15225,16224,0.0003252930202439225,-0.000684228270649312,0.0007110480537754497,-0.00038575503353152705,2.185869383985758,6.679694709038618e-05,-5.073160546822825e-05,1.839877703006305e-05,0.0,0.0,496d529096f67af2a13fe8c379a301826342c267cb496a420e3337038522a80b,2af4195a15c97d83757a67c51c14fb8780c4bd7a8667d733a7dc3d5052bb36a9
1,173648848,superblock,1427163444,True,False,544,convergence_criteria_satisfied,20217,21216,0.001971470579747151,-0.00037668590041594496,0.001726618659893745,0.00024485191985340214,0.8758023972719852,-5.5565339557147456e-05,-0.00012268974608260205,1.9910601748853126e-05,0.0,0.0,496d529096f67af2a13fe8c379a301826342c267cb496a420e3337038522a80b,82bf42df6c15821d1e8edc37c3413e5f2a1c98ea160b7523cb15af3610862efe
1,173648848,hex,1560540830,True,False,288,convergence_criteria_satisfied,10233,11232,0.0017506969834191009,0.00021950310927026825,0.001039291332688533,0.0007114056507305674,0.5936443271061125,0.00035560513813938713,-0.00025134265203169377,0.00011823988975929221,0.0,0.0,496d529096f67af2a13fe8c379a301826342c267cb496a420e3337038522a80b,bb4e20a10d703e81a90ce7b86ff7e2125e634a26cee08c58bb4b0360c6b0cee4
1,173648848,radial_concentric,495676645,True,False,256,convergence_criteria_satisfied,8985,9984,0.002272147379273,0.0004976174052618523,0.0014687806230698059,0.0008033667562031824,0.6464284123769116,0.0008799185850872387,-0.0006429688104954567,0.00010077883766826569,0.0,0.0,496d529096f67af2a13fe8c379a301826342c267cb496a420e3337038522a80b,ed96504e33ef720439c564ca504e3e20cc36a56d6e06832357208ee3835a418d
2,1076401990,manhattan,1593245199,True,False,256,convergence_criteria_satisfied,8985,9984,0.002153501904830823,0.001223004934563113,0.0011054109228355263,0.001048090981995293,0.5133085419408376,0.0006376659805870753,-9.528170737436355e-05,1.9807145171686953e-05,0.0,0.0,0b04ce2844f5d26e2e9c07749500259abd773c31567a881202eb53a75d6be3b4,aea2839c40e512aa47e95819b790db8639d4d605e07caf80b5975389dbd9c607
2,1076401990,superblock,1536205472,True,False,288,convergence_criteria_satisfied,10233,11232,0.0015107833661085067,0.0009233044161191548,0.001916453796762924,-0.000405670430654425,1.268516611815331,0.0004027843965334442,0.00027792358689920975,-0.0001546977539540048,0.0,0.0,0b04ce2844f5d26e2e9c07749500259abd773c31567a881202eb53a75d6be3b4,ec72fce5cd81aa336def01659fed9ed67a0d9d47cd40645b5eb820671fd02c7f
2,1076401990,hex,1932457859,True,False,256,convergence_criteria_satisfied,8985,9984,0.0018015025276997788,0.0009426086918208648,0.0017407158705361578,6.0786657163631215e-05,0.966257800791856,0.0002114010334682069,-0.0002687794496198689,6.814572518895175e-05,0.0,0.0,0b04ce2844f5d26e2e9c07749500259abd773c31567a881202eb53a75d6be3b4,243f9c921b499200118709c2bbe29043e1ee2f4f1ee508ffb880c5516a92fb19
2,1076401990,radial_concentric,1995505463,False,True,1280,maximum_episodes_reached,48921,49920,0.005141115238530082,-3.919603006695255e-06,0.004352691766508215,0.0007884234720218638,0.8466434935920074,0.001020414570421798,0.00014844705477273635,-3.246333544884527e-05,0.0,0.0,0b04ce2844f5d26e2e9c07749500259abd773c31567a881202eb53a75d6be3b4,06f1a89296f91bc0d6cc65ceb60df4aaa11374e6e48d8357b17daecc3827ccaa
3,1648303745,manhattan,1588424133,True,False,256,convergence_criteria_satisfied,8985,9984,0.0015637857851172623,0.0008999088722441783,0.0013760328163866728,0.0001877529687305905,0.8799369002343818,0.0006208503208942927,0.00046965071548564366,-0.0002867283415036212,0.0,0.0,6ce777d1f47d8488d93032bbc092c22eff0d6f6004b69e69f083a19304423be8,b460bdefaae2ec62729b6dd7e8b0bbc2637dbf3d98b69fd093f7e44bbe6714e8
3,1648303745,superblock,992013710,True,False,256,convergence_criteria_satisfied,8985,9984,0.0021220430175277853,0.0009254445726222064,0.0023929012169476562,-0.00027085819941986914,1.127640296253478,0.0004532934237777096,9.352717523312445e-05,-2.4035166417950986e-05,0.0,0.0,6ce777d1f47d8488d93032bbc092c22eff0d6f6004b69e69f083a19304423be8,bc2e40a25c4c15088e6bcfb43a754f0512d53ecea2cbed722b9d82163667ac2d
3,1648303745,hex,1949450213,True,False,256,convergence_criteria_satisfied,8985,9984,0.0013956120531425956,0.0008961581514650565,0.0004840397418278405,0.0009115723113147452,0.346829723014999,0.00043121665629144746,-8.528260574899911e-05,1.0143115604376706e-05,0.0,0.0,6ce777d1f47d8488d93032bbc092c22eff0d6f6004b69e69f083a19304423be8,04f1aa5e6338af9e9511f0d47adcffd7eba33239c90107696dc2b17e7f543f1d
3,1648303745,radial_concentric,1310984356,True,False,576,convergence_criteria_satisfied,21465,22464,0.0019386523469707767,-0.00035828767729198014,0.0015796193200913774,0.00035903302687940596,0.8148027791365466,1.6988988298243563e-05,0.0004007090577737073,-0.00012064462766621737,0.0,0.0,6ce777d1f47d8488d93032bbc092c22eff0d6f6004b69e69f083a19304423be8,15823d54c776dcbef27e847b388ad537e0e4b3d16c467639190ec84a300234ae
4,326648086,manhattan,549361376,True,False,256,convergence_criteria_satisfied,8985,9984,0.00046480419797528653,0.0012214045500506903,0.0008270869436226236,-0.00036228274564733957,1.7794308812731496,0.0007229590341642431,0.0006888198132370023,-0.0004315756434400494,0.0,0.0,1290f7735f250af80c1903e181a49f6112fa21a23878445a4cf58f6ea3db6abd,8673fedf74c3206b346af0a8a8260498f50ad527be8285167d59390e3264bf1f
4,326648086,superblock,785149081,True,False,448,convergence_criteria_satisfied,16473,17472,0.0016671664312750691,0.0003299461206152446,0.0024121967550695686,-0.0007450303237945012,1.4468841921347295,-2.5592811843739046e-06,-3.370812894630368e-05,7.285004683446385e-06,0.0,0.0,1290f7735f250af80c1903e181a49f6112fa21a23878445a4cf58f6ea3db6abd,e40340a2ed47e0795a08aeae6ac99e97cca35c7beae74d32b8e7abddfdffa34f
4,326648086,hex,1649869042,True,False,256,convergence_criteria_satisfied,8985,9984,0.0014852646834437003,0.0011960422231336654,0.0005670982502793227,0.0009181664331643735,0.3818162894471185,0.00037101018114090757,1.686385338850585e-05,-5.8636865342214957e-05,0.0,0.0,1290f7735f250af80c1903e181a49f6112fa21a23878445a4cf58f6ea3db6abd,ef0c7094f1d0034bd7959869bf3b27332a039606c3e2838ba3136ebffe16c02b
4,326648086,radial_concentric,1696874012,True,False,544,convergence_criteria_satisfied,20217,21216,0.0020164061792200053,-0.00011209364668398135,0.0012878334548535489,0.0007285727243664658,0.6386775978596306,0.00010602264675587715,-1.3420854125527614e-05,-5.783355826552094e-06,0.0,0.0,1290f7735f250af80c1903e181a49f6112fa21a23878445a4cf58f6ea3db6abd,6e0ffae0a811092a045120930ac19dcb23d1f6393de48fd4bc053042fb5fc639
5,472012799,manhattan,1905823033,True,False,256,convergence_criteria_satisfied,8985,9984,0.0002310836593838945,0.00021902182296933958,0.0008946566164858945,-0.0006635729571020078,3.87157023076054,0.0007803703308366696,-1.5274351317685013e-05,6.246529705719128e-05,0.0,0.0,524e7bda0002cbb66c0e7ac1b50fa7de6874ad49c355802771b611f747551c1d,ffeda983fddb71cfa687dd7b6a356de1ef6745a3b6db8701a18e32c3e0eabf04
5,472012799,superblock,813787104,True,False,256,convergence_criteria_satisfied,8985,9984,0.000992898057701234,0.0010098513830099818,0.0011835689946554592,-0.00019067093695422345,1.192034756715778,0.0004414320291610002,0.0002439060429231524,-0.00015944098865998003,0.0,0.0,524e7bda0002cbb66c0e7ac1b50fa7de6874ad49c355802771b611f747551c1d,e363ffa271b90ccb2c08d58642a1cecab75310dc2fe825c492e83332a62da783
5,472012799,hex,1724398691,True,False,256,convergence_criteria_satisfied,8985,9984,0.0010813132065460198,0.00033756478018420944,0.0005706210501795612,0.0005106921563664497,0.5277111633568826,0.00032891788717886354,-9.067315425255836e-05,1.0705721137323152e-05,0.0,0.0,524e7bda0002cbb66c0e7ac1b50fa7de6874ad49c355802771b611f747551c1d,89230039ae54bcff987bfb7cc28f9c9d985994eaf47d344c514a89d4b8c6cd68
5,472012799,radial_concentric,1276233474,True,False,256,convergence_criteria_satisfied,8985,9984,0.0017066656022973763,0.001347332763645002,0.0018712768566518285,-0.00016461125435445254,1.0964519670009554,0.0005419731824361056,-1.1479226561813084e-05,-5.453594566786079e-05,0.0,0.0,524e7bda0002cbb66c0e7ac1b50fa7de6874ad49c355802771b611f747551c1d,ae65e3bdc9ef1bba859a8454904db12db305588ba4597cd1577e651eee23a0b3
