source_feature_index,serial_number,description,timestamp,latest_fullness,fullness_threshold,reason
7243,1511203,Proven Training G Werribee,2019-01-30,4,8,NOT_READY
7275,1511203,Proven Training G Werribee,2019-01-30,4,8,NOT_READY
7315,1511203,Proven Training G Werribee,2019-01-30,4,8,NOT_READY
7347,1511203,Proven Training G Werribee,2019-01-30,6,8,NOT_READY
7363,1511203,Proven Training G Werribee,2019-01-30,4,8,NOT_READY
7427,1511203,Proven Training G Werribee,2019-01-30,4,8,NOT_READY
6829,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
6861,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
6893,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
6925,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
6957,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
6989,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
7021,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
7053,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
7085,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
7117,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
7149,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
7181,1511205,Park Hotel G Werribee,2019-01-24,8,8,FULLNESS
7213,1511205,Park Hotel G Werribee,2019-01-24,0,8,NOT_READY
