profile_id,serial_number,start_date,end_date,source_start_level,source_end_level,initial_fill_percent,end_fill_percent,delta_fill_percent,fill_rate_percent_per_hour
0,1510830,2018-06-27,2018-06-28,0,2,0,20,20,0.833333333333
1,1510830,2018-06-28,2018-06-29,2,8,20,80,60,2.5
2,1510830,2018-07-01,2018-07-02,0,0,0,0,0,0
3,1510830,2018-07-02,2018-07-03,0,0,0,0,0,0
4,1510830,2018-07-03,2018-07-04,0,0,0,0,0,0
5,1510830,2018-07-04,2018-07-05,0,4,0,40,40,1.66666666667
6,1510830,2018-07-05,2018-07-06,4,6,40,60,20,0.833333333333
7,1510830,2018-07-07,2018-07-08,0,0,0,0,0,0
8,1510830,2018-07-08,2018-07-09,0,2,0,20,20,0.833333333333
9,1510830,2018-07-09,2018-07-10,2,4,20,40,20,0.833333333333
10,1510830,2018-07-10,2018-07-11,4,6,40,60,20,0.833333333333
11,1510830,2018-07-12,2018-07-13,0,0,0,0,0,0
12,1510830,2018-07-13,2018-07-14,0,0,0,0,0,0
13,1510830,2018-07-14,2018-07-15,0,4,0,40,40,1.66666666667
14,1510830,2018-07-15,2018-07-16,4,4,40,40,0,0
15,1510830,2018-07-16,2018-07-17,4,6,40,60,20,0.833333333333
16,1510830,2018-07-18,2018-07-19,0,0,0,0,0,0
17,1510830,2018-07-19,2018-07-20,0,6,0,60,60,2.5
18,1510830,2018-07-21,2018-07-22,0,4,0,40,40,1.66666666667
19,1510830,2018-07-22,2018-07-23,4,4,40,40,0,0
20,1510830,2018-07-23,2018-07-24,4,8,40,80,40,1.66666666667
21,1510830,2018-07-25,2018-07-26,0,0,0,0,0,0
22,1510830,2018-07-26,2018-07-27,0,4,0,40,40,1.66666666667
23,1510830,2018-07-27,2018-07-28,4,6,40,60,20,0.833333333333
24,1510830,2018-07-29,2018-07-30,0,0,0,0,0,0
25,1510830,2018-07-30,2018-07-31,0,0,0,0,0,0
26,1510830,2018-07-31,2018-08-01,0,6,0,60,60,2.5
27,1510830,2018-08-02,2018-08-03,0,2,0,20,20,0.833333333333
28,1510830,2018-08-03,2018-08-04,2,6,20,60,40,1.66666666667
29,1510830,2018-08-05,2018-08-06,0,2,0,20,20,0.833333333333
